episode,stage,max_steps,score,window_avg,threshold,advanced,timestamp
1,1,100,1.0,1.0,0.65,False,2026-04-25T18:02:43
2,1,100,0.8571,0.9286,0.65,False,2026-04-25T18:02:48
3,1,100,0.8571,0.9048,0.65,False,2026-04-25T18:03:00
4,1,100,1.0,0.9286,0.65,False,2026-04-25T18:03:09
5,1,100,1.0,0.9429,0.65,False,2026-04-25T18:03:16
6,1,100,1.0,0.9524,0.65,False,2026-04-25T18:03:23
7,1,100,1.0,0.9592,0.65,False,2026-04-25T18:03:31
8,1,100,0.8889,0.9504,0.65,False,2026-04-25T18:03:37
9,1,100,1.0,0.9559,0.65,False,2026-04-25T18:03:43
10,1,100,1.0,0.9603,0.65,False,2026-04-25T18:03:48
11,1,100,1.0,0.9639,0.65,False,2026-04-25T18:03:53
12,1,100,1.0,0.9669,0.65,False,2026-04-25T18:04:01
13,1,100,0.9,0.9618,0.65,False,2026-04-25T18:04:06
14,1,100,1.0,0.9645,0.65,False,2026-04-25T18:04:12
15,1,100,1.0,0.9669,0.65,False,2026-04-25T18:04:17
16,1,100,1.0,0.9689,0.65,False,2026-04-25T18:04:22
17,1,100,1.0,0.9708,0.65,False,2026-04-25T18:04:26
18,1,100,1.0,0.9724,0.65,False,2026-04-25T18:04:29
19,1,100,1.0,0.9739,0.65,False,2026-04-25T18:04:33
20,2,200,1.0,0.0,0.7,True,2026-04-25T18:04:37
21,2,200,1.0,1.0,0.7,False,2026-04-25T18:04:45
22,2,200,0.9286,0.9643,0.7,False,2026-04-25T18:04:54
23,2,200,1.0,0.9762,0.7,False,2026-04-25T18:05:07
24,2,200,0.9412,0.9674,0.7,False,2026-04-25T18:05:17
25,2,200,0.8519,0.9443,0.7,False,2026-04-25T18:05:26
26,2,200,0.9565,0.9464,0.7,False,2026-04-25T18:05:35
27,2,200,0.963,0.9487,0.7,False,2026-04-25T18:05:42
28,2,200,1.0,0.9551,0.7,False,2026-04-25T18:05:49
29,2,200,0.7857,0.9363,0.7,False,2026-04-25T18:05:56
30,2,200,0.8929,0.932,0.7,False,2026-04-25T18:06:03
31,2,200,1.0,0.9382,0.7,False,2026-04-25T18:06:11
32,2,200,1.0,0.9433,0.7,False,2026-04-25T18:06:20
33,2,200,1.0,0.9477,0.7,False,2026-04-25T18:06:27
34,2,200,0.75,0.9335,0.7,False,2026-04-25T18:06:35
35,2,200,0.931,0.9334,0.7,False,2026-04-25T18:06:42
36,2,200,0.96,0.935,0.7,False,2026-04-25T18:06:52
37,2,200,0.9286,0.9347,0.7,False,2026-04-25T18:07:00
38,2,200,0.92,0.9338,0.7,False,2026-04-25T18:07:08
39,2,200,0.8966,0.9319,0.7,False,2026-04-25T18:07:15
40,3,300,0.75,0.0,0.7,True,2026-04-25T18:07:23
41,3,300,0.8372,0.8372,0.7,False,2026-04-25T18:07:35
42,3,300,0.8333,0.8353,0.7,False,2026-04-25T18:07:47
43,3,300,0.8163,0.829,0.7,False,2026-04-25T18:08:01
44,3,300,0.7255,0.8031,0.7,False,2026-04-25T18:08:14
45,3,300,0.8,0.8025,0.7,False,2026-04-25T18:08:27
