step,episode_reward,avg_reward
0,32.0,32.0
1,32.0,32.0
2,32.0,32.0
3,32.0,32.0
4,32.0,32.0
5,32.0,32.0
6,32.0,32.0
7,32.0,32.0
8,32.0,32.0
9,32.0,32.0
10,32.0,32.0
11,32.0,32.0
12,32.0,32.0
13,32.0,32.0
14,32.0,32.0
15,32.0,32.0
16,32.0,32.0
17,32.0,32.0
18,32.0,32.0
19,32.0,32.0
20,32.0,32.0
21,32.0,32.0
22,32.0,32.0
23,32.0,32.0
24,32.0,32.0
25,32.0,32.0
26,32.0,32.0
27,32.0,32.0
28,32.0,32.0
29,32.0,32.0
30,32.0,32.0
31,32.0,32.0
32,32.0,32.0
33,32.0,32.0
34,32.0,32.0
35,32.0,32.0
36,32.0,32.0
37,32.0,32.0
38,32.0,32.0
39,32.0,32.0
40,32.0,32.0
41,32.0,32.0
42,32.0,32.0
43,32.0,32.0
44,32.0,32.0
45,32.0,32.0
46,32.0,32.0
47,32.0,32.0
48,32.0,32.0
49,32.0,32.0
