episode,team_reward,conflict_rate,agent_0_reward,agent_1_reward,agent_2_reward,agent_3_reward,agent_4_reward,score,epsilon_mean
0,-37.0,0.6,3.1,1.6,0.1,3.1,3.1,1.0,1.0
1,-37.0,0.6,3.1,1.6,0.1,3.1,3.1,1.0,1.0
2,-43.0,0.5333,3.4,1.9,-1.1,0.4,3.4,1.0,0.9786
3,-71.0,0.7333,-8.2,-3.7,-5.2,-5.2,-6.7,1.0,0.9554
4,-100.0,1.0667,-18.5,-15.5,-12.5,-14.0,-12.5,1.0,0.9327
5,-100.0,1.1333,-18.5,-17.0,-9.5,-15.5,-15.5,1.0,0.9106
6,-89.5,1.0333,-13.4,-13.4,-7.4,-13.4,-13.4,1.0,0.889
7,-89.5,1.0,-13.4,-13.4,-7.4,-11.9,-13.4,1.0,0.8679
8,-40.5,0.5,2.4,0.9,2.4,5.4,0.9,1.0,0.8473
9,-122.0,1.9,-31.9,-22.9,-27.4,-33.4,-16.9,0.5,0.8272
10,-87.5,0.9667,-16.0,-13.0,-8.5,-10.0,-8.5,1.0,0.8076
11,-87.5,1.0,-16.0,-14.5,-8.5,-10.0,-8.5,1.0,0.7884
12,-43.0,0.3667,1.9,1.9,1.9,4.9,4.9,1.0,0.7697
13,-93.0,0.7667,-12.6,-9.6,-9.6,-11.1,-9.6,1.0,0.7515
14,-87.0,1.0,-14.4,-11.4,-8.4,-11.4,-11.4,1.0,0.7336
15,-88.0,1.0333,-16.1,-11.6,-13.1,-10.1,-8.6,1.0,0.7162
16,-88.0,1.1,-17.6,-10.1,-8.6,-13.1,-13.1,1.0,0.6993
17,-88.0,1.0333,-16.1,-10.1,-8.6,-13.1,-11.6,1.0,0.6827
18,-93.0,1.2,-20.1,-12.6,-9.6,-9.6,-20.1,1.0,0.6665
19,-46.0,0.4667,1.3,2.8,2.8,1.3,-0.2,1.0,0.6507
20,-38.0,0.3667,2.9,2.9,4.4,5.9,4.4,1.0,0.6352
21,-88.0,0.9667,-16.1,-5.6,-11.6,-10.1,-13.1,1.0,0.6202
22,-40.5,0.4,2.4,5.4,-0.6,5.4,3.9,1.0,0.6054
23,-40.5,0.3667,2.4,5.4,0.9,5.4,3.9,1.0,0.5911
24,-40.5,0.4,2.4,5.4,-0.6,5.4,3.9,1.0,0.5771
25,-88.0,0.8667,-13.1,-7.1,-11.6,-10.1,-10.1,1.0,0.5634
26,-100.0,0.7667,-12.5,-9.5,-17.0,-9.5,-11.0,1.0,0.55
27,-21.0,0.3,9.3,7.8,9.3,7.8,6.3,1.0,0.537
28,-21.0,0.4,7.8,9.3,4.8,7.8,6.3,1.0,0.5242
29,-103.0,0.5333,-10.1,-7.1,-13.1,-10.1,-11.6,1.0,0.5118
30,-103.0,0.7667,-13.1,-11.6,-14.6,-8.6,-14.6,1.0,0.4996
31,-89.5,1.2,-14.9,-13.4,-13.4,-13.4,-13.4,1.0,0.4878
32,-100.0,0.5667,-11.0,-9.5,-11.0,-6.5,-12.5,1.0,0.4762
33,-43.0,0.3333,3.4,4.9,1.9,4.9,1.9,1.0,0.4649
34,-43.0,0.5667,3.4,-1.1,-1.1,4.9,0.4,1.0,0.4539
35,-88.0,1.4667,-17.6,-20.6,-17.6,-5.6,-17.6,1.0,0.4431
36,-43.0,0.4333,3.4,1.9,0.4,4.9,1.9,1.0,0.4326
37,-21.0,0.4,7.8,6.3,4.8,9.3,7.8,1.0,0.4223
38,-95.5,0.8333,-16.1,-11.6,-13.1,-7.1,-10.1,1.0,0.4123
39,-95.5,0.9333,-16.1,-14.6,-13.1,-7.1,-11.6,1.0,0.4025
40,-87.5,1.1667,-14.5,-14.5,-16.0,-11.5,-8.5,1.0,0.393
41,-39.0,0.6,2.7,-0.3,-0.3,4.2,2.7,1.0,0.3837
42,-97.0,1.3,-23.9,-23.9,-14.9,-10.4,-7.4,1.0,0.3746
43,-97.0,1.7,-23.9,-25.4,-22.4,-8.9,-17.9,1.0,0.3657
44,-22.0,0.2333,7.6,9.1,9.1,7.6,9.1,1.0,0.357
45,-93.5,0.7,-14.2,-8.2,-14.2,-6.7,-6.7,1.0,0.3485
46,-22.0,0.2667,7.6,9.1,7.6,7.6,9.1,1.0,0.3403
47,-89.5,0.8,-16.4,-10.4,-14.9,-4.4,-4.4,1.0,0.3322
48,-89.5,1.0,-16.4,-11.9,-14.9,-8.9,-7.4,1.0,0.3243
49,-97.0,0.6667,-13.4,-8.9,-14.9,-7.4,-7.4,1.0,0.3166
50,-97.0,0.7667,-13.4,-13.4,-14.9,-7.4,-7.4,1.0,0.3091
51,-22.0,0.2667,7.6,7.6,6.1,10.6,9.1,1.0,0.3018
52,-22.0,0.2667,7.6,7.6,6.1,10.6,9.1,1.0,0.2946
53,-22.0,0.2667,7.6,7.6,6.1,10.6,9.1,1.0,0.2876
54,-22.0,0.2333,7.6,9.1,6.1,10.6,9.1,1.0,0.2808
55,-22.0,0.2333,7.6,9.1,6.1,10.6,9.1,1.0,0.2741
56,-22.0,0.3,7.6,7.6,6.1,9.1,9.1,1.0,0.2676
57,-22.0,0.3,7.6,9.1,4.6,7.6,10.6,1.0,0.2613
58,-89.5,1.0667,-16.4,-14.9,-14.9,-10.4,-5.9,1.0,0.2551
59,-89.5,0.9333,-16.4,-2.9,-16.4,-10.4,-10.4,1.0,0.249
60,-89.5,0.8333,-16.4,-10.4,-5.9,-13.4,-5.9,1.0,0.2431
61,-39.0,0.4667,2.7,2.7,1.2,4.2,4.2,1.0,0.2374
62,-22.0,0.0667,9.1,10.6,9.1,10.6,10.6,1.0,0.2317
63,-39.0,0.4667,2.7,2.7,1.2,4.2,4.2,1.0,0.2262
64,-43.0,0.2667,1.9,4.9,0.4,6.4,6.4,1.0,0.2209
65,-43.0,0.2667,1.9,4.9,0.4,6.4,6.4,1.0,0.2156
66,-43.0,0.2667,1.9,4.9,0.4,6.4,6.4,1.0,0.2105
67,-43.0,0.2667,1.9,4.9,0.4,6.4,6.4,1.0,0.2055
68,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.2006
69,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.1959
70,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.1912
71,-43.0,0.3,1.9,4.9,0.4,6.4,4.9,1.0,0.1867
72,-43.0,0.2667,1.9,4.9,0.4,6.4,6.4,1.0,0.1823
73,-43.0,0.2667,1.9,6.4,0.4,4.9,6.4,1.0,0.1779
74,-43.0,0.2667,1.9,4.9,0.4,6.4,6.4,1.0,0.1737
75,-43.0,0.2667,1.9,4.9,0.4,6.4,6.4,1.0,0.1696
76,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.1656
77,-43.0,0.2667,1.9,4.9,0.4,6.4,6.4,1.0,0.1616
78,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.1578
79,-43.0,0.2667,1.9,4.9,0.4,6.4,6.4,1.0,0.1541
80,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.1504
81,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.1468
82,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.1434
83,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.14
84,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.1366
85,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.1334
86,-43.0,0.2,1.9,6.4,1.9,6.4,6.4,1.0,0.1302
87,-43.0,0.2667,1.9,4.9,0.4,6.4,6.4,1.0,0.1271
