iteration,avg_eval_score,expert_score,expert_gap,n_weaknesses,imitation_transitions,avg_train_reward,expert_stage,elapsed_s
1,0.9634,1.0,0.0366,0,0,278.5981,1,120.86
2,0.972,0.9846,0.0126,0,0,227.6302,2,97.16
3,0.9217,1.0,0.0783,0,0,275.9962,2,90.93
4,0.9612,0.9526,-0.0087,0,0,230.5554,2,162.7
5,0.9484,1.0,0.0516,0,0,219.6874,2,119.19
6,0.9434,1.0,0.0566,0,0,214.9846,2,115.73
7,0.9615,1.0,0.0385,0,0,239.9896,2,101.34
8,0.9572,0.9714,0.0142,0,0,234.5522,2,99.46
9,0.9601,1.0,0.0399,0,0,210.5081,2,104.34
10,0.971,0.98,0.009,0,0,296.3366,2,106.5
